S_CTUID,NAABORI100,NAOTHER100,BRTISLE100,FRNH100,WESTEUR100,NORTEUR100,EASTEUR100,SOUTEUR100,CARIB100,LCSA100,CWAFRI100,NORTAFR100,SEAFR100,WAME100,SOUTASI100,SEASIA100,OCEANIC100
5350001,2609,22609,48696,7826,13913,3478,6087,14783,3478,0,0,1739,0,1739,9565,16522,0
5350002,0,16154,72308,4615,29231,3077,20000,8462,0,0,0,0,3077,1538,1538,1538,0
5350003,4396,15385,32967,8791,12088,2198,18681,21978,2198,0,6593,0,0,12088,8791,6593,0
5350004,2913,15512,30236,6850,8740,2047,13071,11654,6772,4252,315,709,3071,2677,7795,28189,315
5350005,3112,14988,30794,8108,10647,2375,12367,14005,7207,5651,410,737,4013,2375,6716,22113,410
5350006,,,,,,,,,,,,,,,,,
5350007.01,3165,13608,30380,8070,9810,1899,12342,11392,4747,2532,791,791,6962,1582,8386,26582,316
5350007.02,3486,11656,27451,6972,8388,1634,12745,11656,5991,6209,1198,763,2397,3813,10675,24292,218
5350008.01,1441,18533,36804,9365,12967,2620,14014,20891,3667,4715,851,786,1179,4584,7269,15390,458
5350008.02,2074,15023,31765,6879,12038,2479,12696,14669,5463,5918,910,1720,2023,6222,10420,17097,708
5350009,5455,12727,29091,14545,10909,5455,9091,12727,12727,12727,0,0,5455,3636,10909,10909,0
5350010.01,953,18780,37941,8770,15253,2669,15920,20972,4385,4862,381,763,1525,4194,6673,11058,477
5350010.02,1622,18041,39662,7365,13649,4122,15473,21014,3784,4257,338,878,2365,3311,6149,14392,338
5350011,1378,15935,33592,8441,11456,2038,14757,16451,2555,2986,574,1263,1206,6115,8556,19294,574
5350012.01,2150,14187,26096,6922,8856,1548,10447,14058,5030,4557,1591,1548,3052,7309,8813,25709,516
5350012.03,915,12693,25100,6918,9605,1772,10463,12293,3431,4288,858,1601,1144,8290,16295,24986,286
5350012.04,1220,12907,32012,7520,10061,2337,13110,11687,3252,3963,610,1118,1220,4573,14837,17073,0
5350013.01,1185,14692,32622,8847,10506,2528,12954,13349,3476,2765,553,869,2528,6319,12796,21485,395
5350013.02,932,11304,28758,6894,8882,2671,11429,11491,3665,2671,559,994,745,7578,15217,23478,0
5350014,844,14768,27426,9705,9283,1688,9705,14346,2532,844,1266,2954,1266,6751,9283,26582,844
5350015,1644,16986,39178,6986,12466,2055,14932,13562,5068,2740,411,0,2603,5890,7260,15479,274
5350016,1441,18374,38497,8801,13073,3191,14153,15800,4375,3139,926,978,2985,4786,6639,16366,463
5350017,2349,17206,40000,10349,12635,3556,13270,14159,7873,4000,1333,254,4127,4127,5270,13651,317
5350018,2510,22176,51674,10251,14017,1046,12552,11506,4393,2510,418,628,418,5021,3975,16946,418
5350019,3571,19643,37175,9578,8766,2435,10227,12825,8442,2435,325,325,3409,974,2273,24351,812
5350020,1656,20704,57971,10352,15942,2070,10766,15528,2484,2070,621,0,1242,4141,5590,10766,414
5350021,3195,21878,62149,12875,19458,5034,16844,12197,2711,2711,0,871,484,3388,2033,7938,1065
5350022,2989,26401,68120,11083,18057,5355,14819,15318,1370,2117,0,0,872,2366,4981,4732,872
5350023,1803,29508,67213,11311,16557,3934,15082,11967,1311,2623,0,0,0,2295,3279,4098,0
5350024,2725,26730,61340,12077,16274,6922,13770,13476,3166,2062,221,884,663,1767,3756,6333,368
5350025,4148,27407,57630,12889,17630,2222,15556,12296,4000,3111,296,0,1037,741,3111,9185,444
5350026,2705,22488,44745,12519,14683,2241,12287,11669,4096,4173,1314,232,1932,3091,7960,18315,232
5350027,2771,21594,36028,9122,11201,2771,9931,10970,3349,1848,346,462,693,1848,5427,31293,0
5350028.01,2190,20438,49635,9489,13504,1825,11314,14599,3285,2190,730,0,730,1460,5474,17153,1825
5350028.02,3133,19644,45724,11346,14225,3556,11600,12786,2540,2371,0,169,1693,1863,4318,24640,1016
5350029,2882,18625,36142,7095,10495,2217,7834,8500,2809,2882,443,739,1848,3104,5174,37029,443
5350030,1464,17342,22973,7432,7095,2365,7207,9347,5631,4842,3378,2027,5518,6194,17342,17568,563
5350031,2807,10906,13312,3128,3849,722,4170,5213,4090,3208,1283,1363,6496,3528,32237,25100,0
5350032,2945,18021,32627,9541,9776,2238,11190,9069,6714,4005,1531,1885,4240,4240,9423,13781,353
5350033,3782,15795,24249,5895,6897,1446,6785,8009,5228,4338,2892,334,16908,4116,7898,12681,0
5350034.01,1333,12121,25697,5818,7394,2182,9818,9212,2667,3394,1455,1212,1091,7030,14182,29697,970
5350034.02,2357,15266,31045,6045,9631,2152,11988,11373,4816,3893,3279,2049,2664,6045,6865,19160,410
5350035,1219,8024,15947,4012,6298,1067,7872,7161,2133,2590,609,863,914,12138,10970,43525,203
5350036,1724,11978,24864,7078,8802,2541,11162,8348,3176,1543,272,454,1724,4083,4265,44102,544
5350037,824,14118,26353,5176,8706,2941,9765,7412,2000,2588,471,1176,1412,3412,6706,43294,235
5350038,2254,11549,25070,5915,9014,1549,10282,13239,3380,3944,423,1127,704,2817,3099,43380,423
5350039,1327,13631,14113,4222,4222,1327,4704,6152,7600,3378,1327,844,3981,2413,4463,48010,0
5350040,1540,11221,26293,7371,8251,4070,11441,18592,1870,1430,220,330,0,1870,1430,40594,330
