S_CTUID,YCanCit100,NCanCit100,VM_SASN100,VM_CHIN100,VM_BLCK100,VM_FILI100,VM_LAMR100,VM_ARAB100,VM_SEAS100,VM_WASN100,VM_KORN100,VM_JAPA100
5350301.03,53960,46114,27737,19453,5251,7618,2959,5473,148,7692,3254,296
5350307.03,61569,38431,7843,41863,392,1471,392,2059,980,13922,12059,2059
5350061,62162,37838,2703,15541,5405,8784,6757,1351,2027,0,2703,1351
5350322.01,62620,37274,7881,40575,2343,1917,639,1065,1810,8520,16933,426
5350307.05,62729,37131,4366,41972,986,1408,1268,2394,1268,8028,17465,845
5350301.04,63917,36083,21167,21500,5500,6667,1917,6917,1417,9750,2583,333
5350303,64801,35294,10057,20588,6262,17078,2372,3985,474,11290,3700,190
5350035,65262,34738,10259,32250,2692,1524,1625,8278,1371,2285,5739,1879
5350307.04,65805,34195,10991,27155,2011,1868,1365,2083,790,9339,12644,2586
5350307.06,66009,33991,3662,38592,1690,1221,376,3568,376,18216,13897,2441
5350401.05,66596,33404,9725,73996,423,846,0,846,1903,1057,1480,634
5350260.05,66667,33333,23916,2230,15242,3594,1487,1487,2107,15985,496,867
5350062.01,66969,33122,9882,20036,2992,907,2901,2811,1088,3083,4533,1179
5350062.02,66998,33002,8278,32892,3366,1600,1380,3201,1380,2152,5353,607
5350065.01,67762,32033,16016,3285,8008,16427,5749,1643,1232,1437,1848,1437
5350260.04,68263,31737,29701,3473,12934,6946,3114,2635,1198,16168,1916,0
5350299.02,68321,31679,11832,20802,2004,3149,2195,2385,859,10496,10401,859
5350402.02,68505,31589,4579,14019,1682,5981,280,1589,467,25607,13551,280
5350305.04,68613,31387,7636,27962,3369,2976,2471,2021,842,14879,9882,1067
5350309,68745,31255,3517,1279,6395,34293,2238,1279,400,3038,5196,480
5350300,68777,31259,7870,23133,2196,2196,3258,2599,988,13104,8675,769
5350250.05,68945,31121,22679,133,18302,2387,3448,21684,1061,9549,133,0
5350249.05,68969,31031,47422,829,11142,1197,1197,15009,1565,5709,184,184
5350194.01,69143,30857,65328,175,2707,3144,1834,1397,175,13799,262,0
5350376.16,69231,30769,33638,21512,9778,5606,1434,4433,0,1304,261,0
5350527.01,69234,30766,25392,14646,5516,6182,1854,9558,2520,903,1474,571
5350528.36,69629,30310,82654,426,4930,852,1035,0,1217,791,0,0
5350311.05,69644,30356,28593,3253,21936,5976,7110,1210,2345,2194,1362,151
5350520.09,69663,30337,25088,10401,5200,6254,3022,15671,1897,1405,1897,351
5350190.01,69956,30044,55811,5154,7127,4167,1371,877,1151,1700,713,384
5350368.01,70205,29868,16911,48023,5124,6369,1464,1245,1245,1171,1537,586
5350520.1,70274,29777,29829,10668,4505,4195,3055,16468,1657,1864,2227,311
5350304.01,70595,29514,10486,12649,9081,8324,3568,3243,216,14919,2378,649
5350308.04,70763,29237,5191,27551,1464,1242,1020,1597,932,12644,14596,1020
5350376.02,71157,28843,23245,49146,7211,7306,474,949,569,949,285,190
5350318,71345,28655,5497,18129,2281,16257,994,175,643,9357,11988,117
5350520.07,71512,28488,45268,4585,5171,4780,2439,9561,1659,3512,585,195
5350314.01,71683,28416,27327,2772,29505,4653,11188,1683,5842,1782,1089,0
5350317.02,71892,28041,1351,1959,1284,21486,1149,473,203,4257,1892,135
5350128.06,72123,27877,16014,3796,4508,4626,4864,1305,949,4982,2847,593
5350320.02,72157,27843,5769,8528,1839,26421,2174,418,1254,5769,9281,334
5350304.04,72170,27830,15559,12633,3989,13830,2793,6516,1064,8910,1596,266
5350287.02,72262,27738,1735,631,7334,36987,1893,0,1183,631,710,0
5350363.07,72338,27662,62452,3137,10741,1236,856,1996,760,2757,380,0
5350528.22,72533,27467,68502,917,8410,1758,994,841,1223,459,0,153
5350320.01,72601,27399,1683,1584,2277,22574,1584,198,792,4851,1881,198
5350532.02,73134,26866,53412,320,15778,2772,3092,533,320,640,213,0
5350521.06,73250,26661,21903,5027,7002,4758,6553,10592,1077,2513,808,449
5350367.01,73333,26667,62688,1505,11290,2581,430,753,0,5161,215,215
5350316.03,73456,26544,7846,2755,30718,3255,7846,9015,6845,7346,0,0
5350065.02,73762,26196,25307,4359,14812,19382,3005,2370,1481,2158,1608,85
5350572.08,73786,26214,60770,917,14115,4400,1375,1100,642,733,275,0
5350194.03,73797,26203,25847,3209,15865,24242,1604,3743,535,1070,357,357
5350307.07,73889,26190,4124,33307,1745,2220,872,4124,159,11340,12450,793
5350063.05,73957,26043,7554,19166,1917,2029,2142,2029,789,2142,3833,1466
5350311.06,74012,25988,15055,11606,23717,4878,4794,1009,4037,2944,3953,168
5350250.04,74024,26056,31978,1834,44099,1356,3030,1037,1994,1834,0,0
5350377.06,74105,25895,2893,90083,275,1240,275,1102,964,0,0,275
5350194.02,74219,25868,55903,694,4948,1476,608,6424,174,7986,608,174
5350346.02,74466,25441,25255,5385,17456,21170,1671,1207,1486,1207,371,0
5350302.02,74492,25508,7474,37287,6336,6011,650,2518,812,3899,1137,244
5350376.11,74561,25439,11696,29094,19298,11988,1608,2778,585,2047,1316,585
5350302.03,74853,25147,13382,45294,3676,1912,588,2059,0,2353,882,441
5350529.01,74906,25218,57179,999,11361,2247,3995,0,874,0,0,0
5350521.01,74912,25088,27729,4225,5194,4313,5634,12588,1232,1849,792,264
5350194.04,74981,24943,32952,4500,3509,8543,1831,1983,915,7857,1068,0
5350290.01,75100,24634,8788,1065,19041,18375,10519,266,4128,399,266,0
5350331.03,75245,24755,45833,408,21895,4493,1389,1552,163,6373,0,0
5350341.03,75672,24187,43140,707,28713,707,566,1839,1273,8487,566,0
5350528.31,75862,24220,55090,821,12233,3859,2627,411,1970,0,164,0
5350355.05,75993,24172,18843,992,28099,10909,1983,1818,496,4298,0,0
5350269.01,76248,23653,13373,5489,18663,4591,6687,4491,399,11477,1198,898
5350530.01,76249,23657,39680,0,27050,1602,471,1225,943,1320,0,189
5350562.12,76320,23609,29550,357,26909,3212,2570,3355,1213,2498,0,286
5350260.06,76328,23520,27618,6677,15933,18816,1973,1973,1366,6829,1366,0
5350572.05,76331,23669,36464,1777,15905,4653,1607,1438,1861,677,0,0
5350527.03,76443,23499,23834,5536,4779,6760,3788,9266,2098,1807,1224,524
5350401.13,76599,23323,18501,64247,2888,4684,468,156,703,390,390,156
5350378.14,76650,23350,29531,43853,5323,5323,760,507,380,2281,253,253
5350513.03,76651,23188,25604,805,4509,12077,1932,7085,3060,2093,1288,0
5350012.01,76698,23302,8040,17842,8598,2279,2709,2923,1376,3052,1677,860
5350080.02,76714,23286,24292,7190,12200,7516,1089,1416,1089,1961,1089,218
5350063.03,76784,23216,9457,12072,2314,3823,2817,2716,1006,3018,1811,1006
5350576.2,76952,23123,66467,1575,14029,1425,1200,150,2176,225,0,0
5350377.07,76989,23011,7957,75054,5591,2688,215,860,1183,0,0,215
5350511.01,77011,23071,18522,1381,10804,6011,1787,10398,3006,3493,894,162
5350363.06,77013,23056,25877,33379,7364,7571,1514,826,757,3372,1032,413
5350317.04,77128,22796,2053,2053,4943,19087,2205,684,304,3954,4867,152
5350401.18,77217,22783,7567,62815,4068,814,1058,1709,1139,1139,1871,163
5350376.05,77299,22774,3504,84672,365,1460,0,146,949,657,511,511
5350305.03,77497,22503,4435,20867,2218,3125,1915,2218,907,10685,10484,1512
5350249.04,77730,22270,47270,287,12931,1437,5316,2443,1293,2443,0,0
5350037,77882,22118,6824,34000,2941,2235,1882,1765,3412,1176,1765,941
