S_CTUID,35,38
5350001,1724,32653
5350002,0,12069
5350003,0,37736
5350004,13554,93324
5350005,4423,75912
5350006,0,0
5350007.01,9652,87500
5350007.02,3595,96593
5350008.01,1179,53367
5350008.02,1062,54950
5350009,5357,102941
5350010.01,859,38400
5350010.02,541,45782
5350011,431,57275
5350012.01,903,64971
5350012.03,857,59621
5350012.04,711,52437
5350013.01,1027,65931
5350013.02,311,50053
5350014,844,49265
5350015,411,43584
5350016,978,48625
5350017,1017,61415
5350018,0,40891
5350019,1951,50178
5350020,1240,14078
5350021,194,56711
5350022,0,25418
5350023,328,23552
5350024,1325,40809
5350025,0,47335
5350026,155,40816
5350027,0,39080
5350028.01,0,33088
5350028.02,339,36283
5350029,443,42712
5350030,676,60811
5350031,1283,85923
5350032,1296,85289
5350033,1444,86803
5350034.01,727,58547
5350034.02,821,66777
5350035,863,67133
5350036,907,69725
5350037,588,75943
5350038,282,65854
5350039,1206,72141
5350040,0,41026
5350041,438,44295
5350042,337,55243
5350043,920,49128
5350044,1012,57625
5350045,0,58863
5350046,290,46269
5350047.02,6334,79328
5350047.03,0,39189
5350047.04,519,42678
5350048,576,57143
5350049,485,56115
5350050.01,627,30530
5350050.03,0,21622
5350050.04,502,52941
5350051,275,56723
5350052,626,43681
5350053,2306,46939
5350054,256,71767
5350055,0,61303
5350056,310,53350
5350057,2022,62500
5350058,368,60363
5350059,314,53287
5350060,364,60410
5350061,0,96907
5350062.01,0,81913
5350062.02,662,62418
5350063.03,905,73363
5350063.04,324,81591
5350063.05,676,75418
5350063.06,871,84637
5350064,974,66792
5350065.01,2875,99647
5350065.02,1693,98905
5350066,1296,62627
5350067,0,27500
5350068,424,49187
5350069,407,28721
5350070,896,65507
5350071,731,38321
5350072.01,1344,55858
5350072.02,311,31660
5350073,1718,36181
5350074,637,44127
5350075,878,36975
5350076,541,39250
5350077,676,39516
5350078,338,47788
5350079,910,24786
5350080.01,1042,38832
5350080.02,2070,78481
5350081,0,25792
5350082,365,29384
5350083,873,45480
5350084,273,36913
5350085,1006,65550
5350086,0,15470
5350087,290,33333
5350088,475,52603
5350089,273,48276
5350090,637,51899
5350091.01,290,67083
5350091.02,572,74815
5350092,429,75570
5350093,463,45514
5350094,829,46420
5350095,314,48881
5350096.01,1475,44697
5350096.02,761,46643
5350097.01,1378,55016
5350097.03,2869,84496
5350097.04,817,54767
5350098,2185,50582
5350099,763,65899
5350100,547,36491
5350101,463,57667
5350102.02,812,94605
5350102.03,405,86396
5350102.04,1639,52830
5350102.05,0,40000
5350103,258,24748
5350104,887,25542
5350105,223,37222
5350106,4558,31034
5350107,2067,28857
5350108,2831,50303
5350109,646,38636
5350110,273,36644
5350111,612,23121
5350112,753,33092
5350113,0,57207
5350114,678,54603
5350115,508,49186
5350116,361,49873
5350117,456,40625
5350118,242,68041
5350119,439,62128
5350120,0,27481
5350121,0,40138
5350122,642,61884
5350123,1104,96599
5350124,477,69846
5350125,221,17834
5350126,230,28779
5350127,280,32653
5350128.02,479,64577
5350128.04,763,59622
5350128.05,0,46552
5350128.06,593,88189
5350129,175,54876
5350130,296,24901
5350131,0,42171
5350132,844,48354
5350133,341,75937
5350134,0,24519
5350135,658,66939
5350136.01,1385,89788
5350136.02,504,77414
5350137,354,57407
5350138,328,31224
5350139.01,474,42975
5350139.02,749,23810
5350140,0,15789
5350141.01,0,21472
5350141.02,219,13565
5350142,176,34091
5350150,354,22910
5350151,800,60265
5350152,564,16379
5350153,2514,23333
5350154,801,27719
5350155,1650,50877
5350156.01,1476,72845
5350156.02,1237,43578
5350157,1128,47549
5350158,1182,56809
5350159.01,589,33891
5350159.02,0,27941
5350160,2689,33624
5350161,1010,36095
5350162,2064,42559
5350163,1127,43056
5350164,904,39437
5350165,815,54082
5350166,239,46012
5350167.01,0,77132
5350167.02,783,81544
5350168,983,60843
5350169.01,1140,46494
5350169.02,274,61199
5350170,1773,27160
5350171,1842,58224
5350172,2529,76991
5350173,1849,55477
5350174,2715,53552
5350175.01,1329,57495
5350175.02,1899,82566
5350176,1365,27532
5350180,1964,72514
5350181.01,1161,21180
5350181.02,846,44164
5350182,374,16628
5350183.01,0,21078
5350183.02,247,17778
5350184.01,795,52723
5350184.02,814,54434
5350185.01,1022,73894
5350185.02,223,59341
5350186,419,36313
5350187,851,18959
5350188,0,21605
5350189,931,58465
5350190.01,1754,63053
5350190.02,319,69704
5350191,935,33898
5350192,0,72727
5350193,310,37129
5350194.01,175,100000
5350194.02,1736,99734
5350194.03,535,99583
5350194.04,610,69291
5350195.01,224,27692
5350195.02,420,14595
5350196.01,536,24667
5350196.02,270,31473
5350200.01,3770,66993
5350200.02,966,85821
5350201,1750,55277
5350202,604,30159
5350203,2385,44086
5350204,1300,50917
5350205,0,0
5350206.01,1086,48139
5350206.02,3038,57219
5350207,1765,46862
5350208,2788,68500
5350209,2299,60643
5350210.01,5805,14796
5350210.02,1315,39344
5350211,1577,19223
5350212,704,22120
5350213.01,940,15152
5350213.02,1379,31994
5350214,3330,19502
5350215,2491,20536
5350216,367,16284
5350217,2109,87044
5350218,0,7035
5350219,2109,16867
5350220,588,39385
5350221.01,161,17351
5350221.02,1134,69249
5350222.01,821,24658
5350222.02,1018,51821
5350223.01,662,8491
5350223.02,472,13725
5350224,0,4425
5350225.01,1205,47629
5350225.02,1165,75720
5350226,0,9829
5350227,0,16406
5350228,0,29603
5350229,0,7692
5350230.01,0,37089
5350230.02,939,51718
5350231,387,38716
5350232,267,6538
5350233,624,24311
5350234,449,17778
5350235.01,530,6566
5350235.02,281,16953
5350236.01,907,29563
5350236.02,254,16115
5350237.01,2348,58506
5350237.02,2467,18224
5350237.03,1880,75296
5350238.01,0,28800
5350238.02,1135,49123
5350239,1011,56716
5350240.01,0,4418
5350240.02,610,47297
5350241,716,7035
5350242,2215,59091
5350243.01,1903,36449
5350243.02,2030,49425
5350244.01,2456,33161
5350244.02,1869,64093
5350245,2337,50772
5350246,2134,29600
5350247.01,4229,32787
5350247.02,2582,28302
5350248.02,3128,68908
5350248.03,7885,22293
5350248.04,5832,44816
5350248.05,5875,29804
5350249.01,7752,12977
5350249.03,4653,29874
5350249.04,4741,32653
5350249.05,4328,72313
5350250.01,4020,35714
5350250.02,1592,39943
5350250.04,3110,62121
5350250.05,4310,61050
5350260.01,909,21474
5350260.04,359,100000
5350260.05,2354,97770
5350260.06,1973,72247
5350260.07,525,15738
5350261,1351,44419
5350262.01,1369,66241
5350262.02,1867,62777
5350263.02,581,30952
5350263.03,336,59658
5350263.04,1254,56286
5350264,0,5814
5350265,215,11014
5350266,0,7373
5350267,234,15738
5350268,398,24648
5350269.01,898,87019
5350269.02,383,7065
5350270.01,1092,64359
5350270.02,834,74224
5350271.01,1765,18889
5350271.02,959,72206
5350272.01,1857,86481
5350272.02,1485,14085
5350273.01,0,18219
5350273.02,0,29153
5350274.01,1246,49568
5350274.02,415,31486
5350275,169,35356
5350276.01,0,35000
5350276.02,0,21694
5350277,0,26250
5350278,340,52462
5350279.01,0,31090
5350279.02,2752,40189
5350280,892,65753
5350281.01,2085,50780
5350281.02,2408,60606
5350282,685,13376
5350283.01,2165,71059
5350283.02,214,52047
5350284,303,48401
5350285,1075,35124
5350286,1805,42643
5350287.02,0,67038
5350287.03,2832,65517
5350287.04,1449,51095
5350288,856,49813
5350289,448,41228
5350290.01,533,76289
5350290.02,1749,36242
5350291.02,626,45455
5350291.03,862,55376
5350291.04,1235,57813
5350292,2013,45434
5350293,1735,20327
5350294.01,1996,58199
5350294.02,2584,17279
5350295,692,57105
5350296,0,0
5350297.01,838,54380
5350297.02,539,39726
5350298,421,48882
5350299.01,247,31973
5350299.02,763,45115
5350300,403,38390
5350301.01,2369,43192
5350301.03,814,71841
5350301.04,833,61905
5350302.01,640,14862
5350302.02,569,36430
5350302.03,294,21875
5350303,1044,77072
5350304.01,0,89908
5350304.02,224,12570
5350304.03,1024,26702
5350304.04,665,86268
5350304.05,515,10455
5350304.06,603,19955
5350305.01,230,5502
5350305.03,202,59502
5350305.04,618,47199
5350306.01,534,18493
5350306.02,428,19942
5350307.03,196,39159
5350307.04,216,50749
5350307.05,282,43570
5350307.06,0,35088
5350307.07,0,42706
5350308.02,348,21944
5350308.03,0,17949
5350308.04,399,41883
5350309,959,86928
5350310.01,0,14516
5350310.02,697,53425
5350311.02,2076,55035
5350311.03,2607,26012
5350311.04,2595,49333
5350311.05,1589,68093
5350311.06,1177,55532
5350312.02,7585,36150
5350312.03,3045,48387
5350312.04,6245,62573
5350312.05,8663,81609
5350312.06,3004,47685
5350312.07,2443,40164
5350313,1982,37569
5350314.01,3465,79104
5350314.02,2330,25240
5350315.01,2773,15455
5350315.02,1578,37443
5350315.03,1586,34412
5350316.01,4394,17355
5350316.03,4424,92132
5350316.04,5168,74551
5350316.05,2366,67681
5350316.06,1235,62069
5350317.02,135,72305
5350317.03,0,26210
5350317.04,989,48622
5350317.05,661,24224
5350318,877,46096
5350319,0,31788
5350320.01,297,70588
5350320.02,502,38221
5350321.01,0,19444
5350321.02,0,36268
5350322.01,213,43709
5350322.02,332,34764
5350323.01,694,57955
5350323.02,325,36080
5350324.01,0,27966
5350324.02,161,23131
5350324.03,502,25788
5350324.05,304,32117
5350324.06,583,10573
5350330,484,25369
5350331.01,1449,20697
5350331.03,1961,74799
5350331.04,2751,8627
5350332,2493,62118
5350333,2019,19033
5350334,291,10277
5350335,979,50586
5350336,912,15658
5350337.01,0,61905
5350337.02,806,63529
5350338,1286,35417
5350339,150,33667
5350340,741,51220
5350341.02,1340,41011
5350341.03,1697,97770
5350341.04,2094,71759
5350342,1559,37367
5350343,1902,36893
5350344.01,3800,47301
5350344.02,3651,50142
5350345,2086,20565
5350346.01,2966,56615
5350346.02,2507,72414
5350347,1154,9783
5350348,1769,19289
5350349,2346,68817
5350350,943,32995
5350351.01,2498,51683
5350351.02,4962,56398
5350352,2413,35450
5350353.02,1229,37574
5350353.03,4119,25463
5350353.04,2718,51757
5350354,2972,22659
5350355.02,6430,39426
5350355.04,3317,72299
5350355.05,5455,80788
5350355.06,2492,73585
5350356,1196,25714
5350357.01,1681,80252
