S_CTUID,Membership
5350001.0,4
5350002.0,4
5350003.0,2
5350004.0,2
5350005.0,2
5350006.0,0
5350007.01,2
5350007.02,2
5350008.01,10
5350008.02,10
5350009.0,2
5350010.01,10
5350010.02,10
5350011.0,10
5350012.01,10
5350012.03,10
5350012.04,10
5350013.01,10
5350013.02,10
5350014.0,10
5350015.0,10
5350016.0,10
5350017.0,10
5350018.0,2
5350019.0,2
5350020.0,4
5350021.0,4
5350022.0,4
5350023.0,4
5350024.0,4
5350025.0,2
5350026.0,2
5350027.0,2
5350028.01,4
5350028.02,4
5350029.0,2
5350030.0,10
5350031.0,7
5350032.0,10
5350033.0,7
5350034.01,10
5350034.02,10
5350035.0,10
5350036.0,10
5350037.0,10
5350038.0,10
5350039.0,7
5350040.0,2
5350041.0,10
5350042.0,10
5350043.0,10
5350044.0,10
5350045.0,2
5350046.0,2
5350047.02,2
5350047.03,2
5350047.04,4
5350048.0,4
5350049.0,4
5350050.01,4
5350050.03,4
5350050.04,4
5350051.0,4
5350052.0,4
5350053.0,2
5350054.0,2
5350055.0,10
5350056.0,10
5350057.0,10
5350058.0,10
5350059.0,10
5350060.0,10
5350061.0,10
5350062.01,10
5350062.02,10
5350063.03,10
5350063.04,10
5350063.05,10
5350063.06,10
5350064.0,10
5350065.01,10
5350065.02,7
5350066.0,10
5350067.0,4
5350068.0,4
5350069.0,4
5350070.0,4
5350071.0,4
5350072.01,2
5350072.02,4
5350073.0,2
5350074.0,2
5350075.0,2
5350076.0,2
5350077.0,4
5350078.0,2
5350079.0,4
5350080.01,2
5350080.02,2
5350081.0,4
5350082.0,4
5350083.0,2
5350084.0,4
5350085.0,2
5350086.0,4
5350087.0,4
5350088.0,10
5350089.0,10
5350090.0,10
5350091.01,10
5350091.02,10
5350092.0,10
5350093.0,4
5350094.0,2
5350095.0,2
5350096.01,2
5350096.02,2
5350097.01,2
5350097.03,2
5350097.04,2
5350098.0,2
5350099.0,2
5350100.0,2
5350101.0,4
5350102.02,2
5350102.03,2
5350102.04,4
5350102.05,4
5350103.0,4
5350104.0,4
5350105.0,4
5350106.0,1
5350107.0,1
5350108.0,2
5350109.0,2
5350110.0,2
5350111.0,1
5350112.0,1
5350113.0,2
5350114.0,2
5350115.0,2
5350116.0,4
5350117.0,4
5350118.0,4
5350119.0,4
5350120.0,4
5350121.0,4
5350122.0,4
5350123.0,10
5350124.0,10
5350125.0,4
