S_CTUID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
5350001,595,604,11765,5042,10924,65546,9244,2.4,59804,113115,23810,46667,60000,40000,0,94.9,89.7,5.2,87637,40576,13.4,15.1,81034,5172,9483,9483,1724,5172,1724,1724,0,0,0,0,1724,68103,67347,32653,0,71429,26531,2198,18681,19780,37363,12088,2198,69231,8791,73.5,6.2,42424,33333,16667,42424,45455,13636,2609,22609,48696,7826,13913,3478,6087,14783,3478,0,0,1739,0,1739,9565,16522,0
5350002,620,657,6452,9677,10484,42742,29032,2.2,56637,126563,24490,36667,66667,33333,0,88.6,61.3,11.2,69888,37696,12,9.4,87786,2290,1527,0,1527,0,0,0,0,0,0,0,0,97710,86207,12069,0,80702,19298,0,23529,17647,29412,14706,5882,68657,8955,61.7,9.8,23636,30909,41818,21818,47273,30909,0,16154,72308,4615,29231,3077,20000,8462,0,0,0,0,3077,1538,1538,1538,0
5350003,749,673,4667,2667,14000,53333,26667,1.8,42958,203279,21951,31818,75000,25000,0,95.6,84.8,3.6,69376,57984,14,12.9,74725,16484,7692,2198,6593,0,0,4396,3297,0,0,0,0,74725,62264,37736,0,58491,41509,4348,7246,27536,39130,11594,5797,66176,22059,73.8,7.5,44643,41071,10714,39286,46429,16071,4396,15385,32967,8791,12088,2198,18681,21978,2198,0,6593,0,0,12088,8791,6593,0
5350004,6686,6781,7175,6129,19507,55830,11360,1.8,35708,314153,19355,45813,66129,27419,6452,84.1,76.9,15.9,34859,22677,34.9,31,73386,16693,8668,2206,9771,5989,1261,867,2994,1024,473,236,13554,50591,6531,93324,0,47460,52540,15940,23968,20757,21330,6307,573,47881,12257,61.9,9.8,20489,54893,20642,35627,47859,16514,2913,15512,30236,6850,8740,2047,13071,11654,6772,4252,315,709,3071,2677,7795,28189,315
5350005,6424,5510,6464,6386,22508,52804,11916,1.8,35082,320588,19735,36735,66667,24000,8000,88.9,83.8,11.1,42496,23386,28.6,26.5,78296,11057,6962,4341,10401,7617,3931,655,3767,410,737,164,4423,53726,24088,75912,0,54173,45974,10833,19405,21429,30000,7857,952,57551,12247,66,7.4,24816,49486,22614,40088,47577,12482,3112,14988,30794,8108,10647,2375,12367,14005,7207,5651,410,737,4013,2375,6716,22113,410
5350006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5350007.01,3237,3325,8037,5719,17929,58733,9583,1.8,39273,274009,19034,42593,70968,19355,6452,89,82.1,11.2,38635,27691,25.9,23.3,73259,16139,9968,2373,10601,8544,1108,949,1741,316,316,633,9652,51266,12216,87500,0,50712,49573,12500,18860,25439,25439,7675,877,51535,17325,69.7,7,23770,51639,22131,37705,45355,16667,3165,13608,30380,8070,9810,1899,12342,11392,4747,2532,791,791,6962,1582,8386,26582,316
5350007.02,4753,4962,6947,6737,22737,53158,10632,1.8,35906,313681,19526,44444,64286,28571,7143,84.1,78.7,15.8,36334,24789,31.6,26.8,71024,17320,11002,4139,10566,8497,3486,436,4139,980,327,327,3595,49673,3607,96593,0,50100,49699,14472,23577,19675,23089,7154,0,40325,21789,62.2,9.8,22338,51983,23800,38205,46138,15658,3486,11656,27451,6972,8388,1634,12745,11656,5991,6209,1198,763,2397,3813,10675,24292,218
5350008.01,7503,2729,3600,1067,37200,56733,1467,1.5,45871,224660,8590,15077,82353,17647,5882,98.6,93.4,1.5,68846,56084,9.8,9.7,85069,11067,7073,7466,3602,2620,2750,1703,1310,1048,2030,524,1179,66994,46633,53367,0,61066,39034,902,9091,17355,47784,15327,1427,75357,14576,90.1,3.2,38462,31966,24530,39607,51583,8896,1441,18533,36804,9365,12967,2620,14014,20891,3667,4715,851,786,1179,4584,7269,15390,458
5350008.02,9942,6553,5382,2666,31036,56288,4577,1.6,43434,239653,14272,25064,72727,21212,6061,97,90.8,3.1,60894,50225,16.8,15.9,78897,13917,9712,9155,7081,2681,4552,2377,1467,1922,1062,506,1062,56045,45050,54950,0,56043,43957,2540,10476,19429,42603,14730,1270,69270,17651,80.1,5.3,31172,37141,27266,45321,45910,8843,2074,15023,31765,6879,12038,2479,12696,14669,5463,5918,910,1720,2023,6222,10420,17097,708
5350009,567,271,4386,4386,21930,57895,11404,1.8,28037,366667,51948,14286,60000,20000,20000,75.6,73.1,24.5,28352,17984,39,30.5,72727,21818,5357,3571,16071,0,8929,3571,0,0,0,0,5357,51786,0,102941,0,44118,55882,7895,26316,28947,21053,5263,0,59459,8108,51.9,18.8,16667,54167,20833,39130,56522,8696,5455,12727,29091,14545,10909,5455,9091,12727,12727,12727,0,0,5455,3636,10909,10909,0
5350010.01,5428,4608,7373,3041,22488,61751,5161,1.7,47005,206048,14559,27753,69767,25581,4651,97.3,90.2,2.7,72243,59557,11.8,11.4,82824,7252,5439,4580,5725,2004,2576,1240,573,859,1718,954,859,72042,61440,38400,0,69920,29920,3281,12758,16646,43742,12272,1580,70803,13260,83,4,34478,33619,27754,48212,44778,6867,953,18780,37941,8770,15253,2669,15920,20972,4385,4862,381,763,1525,4194,6673,11058,477
5350010.02,7740,7113,6068,2453,21627,62105,7747,1.7,42777,242088,15000,27365,76087,17391,6522,96.8,87.2,3.3,66394,50176,14,14.1,83097,8722,5541,7230,4257,2838,2500,676,1216,676,1689,541,541,70135,54218,45782,0,64302,35698,4400,11130,16480,41846,15013,1208,69802,14582,79.4,5,25231,27385,43487,56308,36923,6667,1622,18041,39662,7365,13649,4122,15473,21014,3784,4257,338,878,2365,3311,6149,14392,338
5350011,17549,8645,2535,1396,41099,52036,2934,1.5,38980,297368,9222,15385,78571,16667,2381,98.8,86.5,1.2,68348,57463,14.7,14.5,83209,14122,8211,12690,3216,1780,1837,1349,1206,2182,1780,603,431,63508,42725,57275,0,57746,42296,1411,8113,9735,50265,19506,1799,72724,17749,84.7,4.2,17765,20771,58805,70586,24017,5397,1378,15935,33592,8441,11456,2038,14757,16451,2555,2986,574,1263,1206,6115,8556,19294,574
5350012.01,11658,5911,5489,3516,42496,44983,3431,1.7,39558,288953,9430,23786,60563,26761,11268,97,89.5,3,57547,48144,21.7,21.4,69733,23302,8040,17842,8598,2279,2709,2923,1376,3052,1677,860,903,47635,35029,64971,0,50292,49781,1977,12093,14070,44651,16337,1512,64360,21512,78,6.6,22800,29801,43481,51060,40013,8992,2150,14187,26096,6922,8856,1548,10447,14058,5030,4557,1591,1548,3052,7309,8813,25709,516
5350012.03,8865,5892,4735,2029,40699,49436,3213,1.7,42985,251314,9176,24857,79412,20588,0,98.1,91.7,1.9,70707,57952,13.9,14.9,74042,21269,15371,16857,2971,2229,2743,3257,743,1943,2343,629,857,47257,40379,59621,0,59259,40646,883,8241,11921,48712,19279,1619,70250,20692,81.9,4.4,19935,22934,54862,61507,31686,6807,915,12693,25100,6918,9605,1772,10463,12293,3431,4288,858,1601,1144,8290,16295,24986,286
5350012.04,4899,4772,4898,1633,28163,56429,8878,1.6,46602,207639,15927,22596,82609,13043,0,97.3,86,2.7,67925,57440,13.6,14.4,77868,17259,14619,12589,3858,1117,2234,2234,609,1117,508,1117,711,57970,47563,52437,0,61655,38345,1465,8522,14248,43941,20107,2663,64362,25665,78.5,5.7,21827,30495,45511,60278,32303,7419,1220,12907,32012,7520,10061,2337,13110,11687,3252,3963,610,1118,1220,4573,14837,17073,0
5350013.01,6290,4739,4134,1908,31717,51987,10413,1.5,43167,236293,15836,18474,80645,16129,6452,96.5,87.2,3.5,67642,51072,15.4,14.5,79289,15415,11453,12006,4897,3160,1659,2686,1580,1422,1264,1659,1027,54739,33946,65931,0,64735,35265,1170,9149,10213,46702,20745,2234,71170,18723,77.8,4.3,16279,25465,55349,69884,25000,5233,1185,14692,32622,8847,10506,2528,12954,13349,3476,2765,553,869,2528,6319,12796,21485,395
5350013.02,8126,5862,5908,2769,24185,53662,13538,1.7,52283,160127,17753,27895,72222,25000,2778,96.9,81.9,3.1,76416,57623,14,12.9,76507,17589,14543,17278,3294,1181,1554,2548,684,2486,2175,932,311,51274,50053,50053,0,63597,36403,691,8989,10717,42351,22990,2506,63385,26857,71.7,4.8,25895,22632,48737,64211,28632,7053,932,11304,28758,6894,8882,2671,11429,11491,3665,2671,559,994,745,7578,15217,23478,0
5350014,1242,644,4839,4032,22581,58065,9677,1.7,53017,159350,19091,29091,85714,14286,0,99.3,85.1,1.1,90176,63616,17.6,15.5,77215,16034,9705,14768,3376,2954,1266,4219,1688,2110,3376,2532,844,52743,50735,49265,0,62963,36296,1136,11932,6250,51136,17045,2273,64972,22034,74.4,3.5,17778,17778,63704,76471,18382,4412,844,14768,27426,9705,9283,1688,9705,14346,2532,844,1266,2954,1266,6751,9283,26582,844
5350015,3663,3411,4502,2865,20737,56889,15007,1.6,46465,204969,16712,18065,63636,27273,4545,96.6,79,3.4,74547,60928,13.5,12.9,85616,9726,6027,9178,7397,1370,822,1233,548,1644,1233,959,411,65890,56195,43584,0,71840,27938,1898,11765,11954,42694,18027,3226,68939,17424,71.1,6.6,13063,27027,56306,71396,22748,5631,1644,16986,39178,6986,12466,2055,14932,13562,5068,2740,411,0,2603,5890,7260,15479,274
5350016,10101,6063,5099,3069,23911,61535,6535,1.6,44421,226905,15414,18473,61702,25532,14894,96.9,88.9,3,67212,55552,15.6,14.4,83436,10185,6279,9213,7823,2316,1853,1081,1184,1595,1184,721,978,64025,51375,48625,0,63401,36680,2604,10547,14388,42839,17318,2279,72266,14648,80.4,4.2,23240,29220,44587,64318,29394,6288,1441,18374,38497,8801,13073,3191,14153,15800,4375,3139,926,978,2985,4786,6639,16366,463
5350017,7906,6883,6772,5380,16076,58291,13481,1.7,40028,258188,22674,30576,69149,23404,8511,92.1,81.2,7.9,54380,41125,21.2,18.7,82667,6857,5083,6226,13405,3304,2414,1207,699,635,826,762,1017,62198,38585,61415,0,65194,34914,4316,15060,19100,34803,13682,1561,65809,14706,67.1,6.8,25349,28953,40581,57907,34419,7791,2349,17206,40000,10349,12635,3556,13270,14159,7873,4000,1333,254,4127,4127,5270,13651,317
